1 0  -8.2014837 -8.2014837 -8.2014837 -8.1357769 -8.1357769 -5.8086071 6.615432 6.615432 6.615432 6.7378237 10.461495 10.461495 10.461495 17.604161 17.604161 19.075851 24.016328 24.016328 24.016328
2 0.005796918  -8.2018004 -8.2013749 -8.2013749 -8.1358159 -8.1357438 -5.8046761 6.3780978 6.6016597 6.6016597 6.974574 10.449612 10.480684 10.480684 17.583965 17.610185 18.840708 24.010703 24.010703 24.211326
3 0.011593836  -8.2027437 -8.2010494 -8.2010494 -8.1359337 -8.1356448 -5.7928676 6.089288 6.5612407 6.5612407 7.2615005 10.413826 10.537346 10.537346 17.503683 17.628266 18.33426 23.994906 23.994906 24.646266
4 0.017390754  -8.2042941 -8.2005103 -8.2005103 -8.1361326 -8.1354811 -5.7731498 5.7993305 6.4966573 6.4966573 7.5478206 10.354181 10.628979 10.628979 17.278905 17.658426 17.916442 23.972009 23.972009 25.114145
5 0.023187672  -8.206419 -8.1997627 -8.1997627 -8.1364156 -8.1352545 -5.7455051 5.5103571 6.4114488 6.4114488 7.8304776 10.271904 10.752011 10.752011 16.916008 17.700705 17.729721 23.946629 23.946629 25.533153
6 0.02898459  -8.2090747 -8.1988139 -8.1988139 -8.1367859 -8.1349675 -5.7099554 5.223129 6.3096018 6.3096018 8.107126 10.170177 10.902406 10.902406 16.604141 17.630781 17.755158 23.924298 23.924298 25.896078
7 0.034781508  -8.2122081 -8.1976729 -8.1976729 -8.1372456 -8.1346232 -5.6665722 4.9380772 6.1950547 6.1950547 8.3748267 10.054197 11.076166 11.076166 16.411198 17.548861 17.821855 23.910791 23.910791 26.215018
8 0.040578426  -8.2157598 -8.1963509 -8.1963509 -8.1377956 -8.1342254 -5.615474 4.6554838 6.0713943 6.0713943 8.6293089 9.9308816 11.269628 11.269628 16.332283 17.468067 17.90088 23.911504 23.911504 26.501489
9 0.046375344  -8.2196664 -8.1948608 -8.1948608 -8.1384347 -8.1337786 -5.5568211 4.375556 5.9417239 5.9417239 8.8632975 9.8095085 11.479604 11.479604 16.343097 17.388077 17.992331 23.930973 23.930973 26.762824
10 0.052172262  -8.2238628 -8.1932175 -8.1932175 -8.1391599 -8.1332877 -5.4908096 4.0984688 5.8086456 5.8086456 9.0610271 9.7065206 11.703397 11.703397 16.408545 17.321438 18.09632 23.972523 23.972523 27.003108
11 0.05796918  -8.2282842 -8.1914373 -8.1914373 -8.1399659 -8.1327581 -5.4176692 3.8243932 5.6743038 5.6743038 9.1829864 9.6605239 11.938764 11.938764 16.475967 17.302874 18.212972 24.037983 24.037983 27.224676
12 0.063766098  -8.2328673 -8.1895386 -8.1895386 -8.1408458 -8.1321958 -5.3376634 3.5535161 5.5404508 5.5404508 9.1844266 9.7138362 12.183847 12.183847 16.482252 17.383466 18.342424 24.127332 24.127332 27.429138
13 0.069563016  -8.2375515 -8.1875407 -8.1875407 -8.1417907 -8.1316069 -5.2510923 3.2860554 5.4085163 5.4085163 9.1072321 9.8209216 12.437109 12.437109 16.411547 17.573554 18.484825 24.237973 24.237973 27.617684
