1 0  -8.2018605 -8.2018605 -8.2018605 -8.1361373 -8.1361373 -5.8085887 6.6154542 6.6154542 6.6154542 6.7377837 10.461457 10.461457 10.461457 17.604155 17.604155 19.075758 24.016307 24.016307 24.016307
2 0.023170515  -8.2057942 -8.2006738 -8.2006738 -8.1361709 -8.1361709 -5.7455 5.4127812 6.5256475 6.5256475 7.6627827 10.599285 10.599285 10.607776 17.301055 17.520764 17.520764 24.486296 24.486296 24.792734
3 0.04634103  -8.2164103 -8.1975092 -8.1975092 -8.136131 -8.136131 -5.5581952 4.0924908 6.3064175 6.3064175 8.0642823 10.927972 10.927972 11.195438 16.98818 17.434019 17.434019 24.822043 25.525492 25.525492
4 0.069511545  -8.2306484 -8.1934117 -8.1934117 -8.1356935 -8.1356935 -5.2616343 2.8245763 6.0489963 6.0489963 7.9859151 11.276605 11.276605 12.246675 17.550739 17.550739 17.897622 24.385534 26.200462 26.200462
5 0.092682059  -8.2449704 -8.1896319 -8.1896319 -8.1346501 -8.1346501 -4.8893 1.6927335 5.8190588 5.8190588 7.7773413 11.514789 11.514789 13.507723 17.948945 17.948945 18.808003 24.031075 25.332658 25.332658
6 0.11585257  -8.2563314 -8.1870147 -8.1870147 -8.1332663 -8.1332663 -4.5086949 0.7930545 5.6515972 5.6515972 7.5997687 11.609841 11.609841 14.780672 18.729308 18.729308 18.879607 23.50941 23.50941 23.584056
7 0.13902309  -8.2625703 -8.1857588 -8.1857588 -8.1322612 -8.1322612 -4.245727 0.26708973 5.5641345 5.5641345 7.5036015 11.622886 11.622886 15.760375 18.455881 19.950827 19.950827 21.63012 21.63012 22.947743
8 0.28738677  -8.2057942 -8.2006738 -8.2006738 -8.1361709 -8.1361709 -5.7455 5.4127812 6.5256475 6.5256475 7.6627827 10.599285 10.599285 10.607776 17.301055 17.520764 17.520764 24.486296 24.486296 24.792734
9 0.31055729  -8.2083691 -8.1995791 -8.1995791 -8.1369934 -8.1354453 -5.7245426 5.3333511 6.3505051 6.3505051 8.0015935 10.211276 10.84155 10.84155 16.710998 17.664961 17.732764 23.932135 23.932135 25.762417
10 0.3337278  -8.2171168 -8.1970036 -8.1964381 -8.137817 -8.1347834 -5.5783651 4.3491321 6.0816191 6.1527488 8.5122725 10.167393 11.252277 11.34612 16.516866 17.439863 17.79574 24.124621 24.352034 26.40214
