1 0  -11.014014 -11.014014 -11.014014 -10.238025 -10.238025 -10.238025 -10.100464 -10.100464 -9.8082753 -9.8082753 -1.6624881 8.3721675 8.8276974 8.8276974 8.8276974 11.280651 11.280651 11.280651 21.093925 21.093925 25.55627 27.413361 27.413361 27.413361
2 0.00513674  -11.015626 -11.015626 -11.013181 -10.237764 -10.237428 -10.237428 -10.101086 -10.100087 -9.8099052 -9.8080515 -1.6589327 8.247903 8.8116121 8.8116121 8.9498258 11.275661 11.300639 11.300639 21.090231 21.097381 25.533369 27.407865 27.407865 27.448037
3 0.01027348  -11.020438 -11.020438 -11.010674 -10.237003 -10.235645 -10.235645 -10.10294 -10.098956 -9.8146365 -9.8073824 -1.6482702 8.0162195 8.7649552 8.7649552 9.1748647 11.260797 11.359008 11.359008 21.079395 21.107741 25.465776 27.391533 27.391533 27.547396
4 0.01541022  -11.028367 -11.028367 -11.006471 -10.235799 -10.232692 -10.232692 -10.105991 -10.097065 -9.8220302 -9.8062744 -1.630512 7.7620035 8.6919234 8.6919234 9.417239 11.236379 11.451571 11.451571 21.062001 21.124984 25.356521 27.364553 27.364553 27.698695
5 0.02054696  -11.039276 -11.039276 -11.000534 -10.234246 -10.228597 -10.228597 -10.110182 -10.094406 -9.8314599 -9.804739 -1.6056769 7.5014897 8.5979722 8.5979722 9.6596238 11.202922 11.572892 11.572892 21.038612 21.149072 25.209828 27.326512 27.326512 27.884335
6 0.0256837  -11.052966 -11.052966 -10.992817 -10.232467 -10.223395 -10.223395 -10.115427 -10.090968 -9.8422275 -9.8027921 -1.5737913 7.2391623 8.4885785 8.4885785 9.8960996 11.16111 11.717522 11.717522 21.009451 21.179953 25.03034 27.2757 27.2757 28.085618
7 0.03082044  -11.069168 -11.069168 -10.983263 -10.230608 -10.217128 -10.217128 -10.121619 -10.08674 -9.8536662 -9.8004553 -1.5348891 6.976747 8.3685392 8.3685392 10.123206 11.111767 11.880701 11.880701 20.974263 21.21756 24.822584 27.20858 27.20858 28.019249
8 0.03595718  -11.087539 -11.087539 -10.971814 -10.228837 -10.209842 -10.209842 -10.12862 -10.081708 -9.8652094 -9.7977562 -1.4890118 6.7150453 8.2417555 8.2417555 10.338136 11.055822 12.058572 12.058572 20.932384 21.261811 24.590735 27.119606 27.119606 27.889718
9 0.04109392  -11.10765 -11.10765 -10.958414 -10.22733 -10.201583 -10.201583 -10.136265 -10.075857 -9.8764226 -9.7947287 -1.4362077 6.4544813 8.1112854 8.1112854 10.538223 10.994279 12.248136 12.248136 20.882955 21.312609 24.338604 27.001776 27.001776 27.746208
10 0.04623066  -11.128983 -11.128983 -10.943018 -10.226271 -10.192397 -10.192397 -10.144359 -10.069176 -9.8870061 -9.7914139 -1.3765321 6.1953103 7.9794921 7.9794921 10.720778 10.928188 12.447097 12.447097 20.82521 21.369842 24.06974 26.848432 26.848432 27.590619
11 0.0513674  -11.150925 -11.150925 -10.925599 -10.225843 -10.182328 -10.182328 -10.15268 -10.061654 -9.8967801 -9.7878607 -1.3100464 5.9377118 7.8482004 7.8482004 10.858618 10.883081 12.653713 12.653713 20.758795 21.433383 23.787565 26.656038 26.656038 27.424801
12 0.05650414  -11.172771 -11.172771 -10.90616 -10.22622 -10.171413 -10.171413 -10.160978 -10.053284 -9.905664 -9.7841264 -1.2368172 5.6818323 7.7188288 7.7188288 10.786643 11.02248 12.866656 12.866656 20.684062 21.503093 23.495491 26.426082 26.426082 27.250517
13 0.06164088  -11.193733 -11.193733 -10.88474 -10.22756 -10.168977 -10.159686 -10.159686 -10.044065 -9.9136548 -9.7802772 -1.1569149 5.4278058 7.5924921 7.5924921 10.713327 11.136564 13.084915 13.084915 20.602274 21.578817 23.196995 26.164405 26.164405 27.069415
14 0.06677762  -11.212966 -11.212966 -10.86143 -10.229995 -10.176383 -10.147174 -10.147174 -10.034005 -9.9208081 -9.7763883 -1.0704129 5.1757638 7.4700774 7.4700774 10.639722 11.223398 13.307706 13.307706 20.515662 21.660388 22.895652 25.878782 25.878782 26.883012
15 0.07191436  -11.229603 -11.229603 -10.836378 -10.233628 -10.182885 -10.133901 -10.133901 -10.023119 -9.9272235 -9.7725443 -0.97738541 4.9258396 7.3522993 7.3522993 10.566862 11.281778 13.534411 13.534411 20.427261 21.747632 22.595125 25.576827 25.576827 26.692691
16 0.0770511  -11.242811 -11.242811 -10.809796 -10.238526 -10.18817 -10.119886 -10.119886 -10.011434 -9.9330316 -9.7688388 -0.87790582 4.67817 7.2397407 7.2397407 10.495768 11.311471 13.764517 13.764517 20.340542 21.840361 22.299104 25.265061 25.265061 26.499694
17 0.08218784  -11.251852 -11.251852 -10.781966 -10.24472 -10.191929 -10.105152 -10.105152 -9.9989898 -9.9383848 -9.7653738 -0.7720453 4.4328969 7.1328826 7.1328826 10.427445 11.313363 13.997556 13.997556 20.258893 21.938384 22.01123 24.948823 24.948823 26.30513
18 0.08732458  -11.256162 -11.256162 -10.753229 -10.252207 -10.193876 -10.089726 -10.089726 -9.9858397 -9.9434489 -9.7622588 -0.65987127 4.1901679 7.0321254 7.0321254 10.362884 11.289479 14.233041 14.233041 20.185111 21.73498 22.041505 24.632518 24.632518 26.109977
19 0.09246132  -11.255422 -11.255422 -10.723979 -10.260952 -10.193757 -10.073653 -10.073653 -9.9720535 -9.9483963 -9.7596092 -0.54144666 3.9501369 6.9378058 6.9378058 10.303057 11.24285 14.470383 14.470383 20.12103 21.473552 22.149529 24.319912 24.319912 25.915088
20 0.09759806  -11.249621 -11.249621 -10.694636 -10.270895 -10.191381 -10.057007 -10.057007 -9.9577171 -9.9534008 -9.7575443 -0.41682974 3.712965 6.850208 6.850208 10.248911 11.177251 14.708795 14.708795 20.067378 21.229742 22.262262 24.014382 24.014382 25.7212
21 0.1027348  -11.239084 -11.239084 -10.665619 -10.281956 -10.186631 -10.039902 -10.039902 -9.9586335 -9.9429331 -9.7561844 -0.28607486 3.4788205 6.7695733 6.7695733 10.201354 11.096869 14.947166 14.947166 20.023882 21.00584 22.379518 23.719094 23.719094 25.52894
22 0.10787154  -11.224474 -11.224474 -10.637311 -10.294044 -10.179492 -10.02251 -10.02251 -9.9642594 -9.9278204 -9.7556482 -0.14923406 3.2478792 6.6961065 6.6961065 10.161237 11.00596 15.183916 15.183916 19.98953 20.803547 22.501122 23.43712 23.43712 25.338835
23 0.11300828  -11.206749 -11.206749 -10.610022 -10.307062 -10.17006 -10.005077 -10.005077 -9.9704351 -9.912513 -9.7560493 -0.0063594218 3.0203243 6.6299808 6.6299808 10.129342 10.908571 15.416826 15.416826 19.962925 20.623924 22.626914 23.171512 23.171512 25.151315
24 0.11814502  -11.18708 -11.18708 -10.583966 -10.32091 -10.158554 -9.9879305 -9.9879305 -9.977306 -9.8971581 -9.7574916 0.14249397 2.7963456 6.5713416 6.5713416 10.106359 10.808346 15.642856 15.642856 19.94262 20.467379 22.756752 22.925343 22.925343 24.966727
25 0.12328176  -11.166752 -11.166752 -10.559248 -10.335496 -10.145299 -9.985004 -9.9714864 -9.9714864 -9.8819131 -9.7600662 0.29726474 2.5761381 6.5203094 6.5203094 10.092874 10.708419 15.857992 15.857992 19.9274 20.333684 22.701747 22.701747 22.890515 24.785338
26 0.1284185  -11.147059 -11.147059 -10.535867 -10.350734 -10.130703 -9.9936428 -9.9562347 -9.9562347 -9.8669419 -9.763847 0.45788211 2.359901 6.4769821 6.4769821 10.089358 10.611394 16.057153 16.057153 19.916472 20.222026 22.503943 22.503943 23.028106 24.607346
27 0.13355524  -11.129198 -11.129198 -10.513745 -10.366557 -10.115221 -10.003314 -9.942715 -9.942715 -9.852411 -9.768887 0.62426299 2.1478352 6.4414374 6.4414374 10.096155 10.519367 16.234242 16.234242 19.909578 20.13109 22.335262 22.335262 23.169451 24.432893
28 0.13869198  -11.114207 -11.114207 -10.492751 -10.382912 -10.09931 -10.01408 -9.9314763 -9.9314763 -9.838484 -9.7752153 0.79630991 1.940141 6.413735 6.413735 10.113485 10.433985 16.382432 16.382432 19.907023 20.059148 22.199103 22.199103 23.314502 24.262066
29 0.14382872  -11.102909 -11.102909 -10.47273 -10.399773 -10.083396 -10.025967 -9.923026 -9.923026 -9.8253172 -9.7828349 0.97390961 1.7370161 6.3939185 6.3939185 10.141437 10.356519 16.494765 16.494765 19.909659 20.004175 22.098786 22.098786 23.463231 24.094915
30 0.14896546  -11.095895 -11.095895 -10.453535 -10.417137 -10.067849 -10.038953 -9.9177758 -9.9177758 -9.813054 -9.7917208 1.1569326 1.5386523 6.3820172 6.3820172 10.179972 10.287926 16.565067 16.565067 19.918824 19.963965 22.037222 22.037222 23.61563 23.931461
31 0.1541022  -11.093518 -11.093518 -10.435037 -10.435037 -10.052962 -10.052962 -9.9159945 -9.9159945 -9.8018204 -9.8018204 1.3452335 1.3452335 6.3780483 6.3780483 10.22891 10.22891 16.589019 16.589019 19.93625 19.93625 22.016455 22.016455 23.771702 23.771702
32 0.15591831  -11.092853 -11.090693 -10.434979 -10.434976 -10.053029 -10.052965 -9.9160654 -9.9160428 -9.8025604 -9.8018356 1.344839 1.3455709 6.3761318 6.3784428 10.229179 10.232649 16.585506 16.586422 19.932512 19.937131 22.015184 22.020819 23.762797 23.773793
33 0.15773442  -11.090876 -11.082329 -10.434802 -10.434795 -10.053233 -10.052975 -9.9162779 -9.9161874 -9.8047636 -9.8018814 1.3436545 1.3465897 6.3704117 6.379626 10.229982 10.243835 16.575005 16.57865 19.921397 19.939797 22.011394 22.033809 23.736837 23.780044
34 0.15955054  -11.087638 -11.068746 -10.434494 -10.434493 -10.053573 -10.052992 -9.9166313 -9.916428 -9.8083804 -9.8019581 1.3416766 1.3483091 6.3609753 6.3815973 10.231321 10.262383 16.557641 16.565766 19.903198 19.944319 22.005143 22.055132 23.695922 23.790393
35 0.16136665  -11.083222 -11.050448 -10.43407 -10.434036 -10.054049 -10.053014 -9.9171242 -9.9167641 -9.8133318 -9.8020664 1.3389 1.3507594 6.347964 6.384356 10.233193 10.288156 16.533615 16.547872 19.878364 19.950803 21.996527 22.084329 23.643069 23.804741
36 0.16318276  -11.077735 -11.028084 -10.433529 -10.433402 -10.054664 -10.05304 -9.9177551 -9.917195 -9.819514 -9.8022074 1.3353172 1.3539801 6.3315674 6.3879006 10.235597 10.32097 16.503204 16.525107 19.847461 19.959382 21.985674 22.120827 23.581707 23.822955
37 0.16499887  -11.071303 -11.002394 -10.432868 -10.432554 -10.055419 -10.05307 -9.918522 -9.9177195 -9.8268044 -9.8023821 1.3309187 1.3580169 6.3120163 6.3922294 10.238528 10.360598 16.466751 16.497647 19.811126 19.970203 21.972736 22.163978 23.515243 23.844878
38 0.16681498  -11.064066 -10.974169 -10.432091 -10.431448 -10.056315 -10.053102 -9.9194222 -9.9183364 -9.8350679 -9.8025919 1.3256932 1.3629191 6.2895745 6.3973406 10.241983 10.406785 16.424658 16.465697 19.77002 19.983412 21.957883 22.213106 23.446781 23.870332
39 0.1686311  -11.056168 -10.944203 -10.431198 -10.430028 -10.057355 -10.053133 -9.920453 -9.9190438 -9.8441632 -9.8028382 1.3196275 1.3687369 6.2645301 6.4032315 10.245958 10.459249 16.377374 16.429489 19.724799 19.999138 21.941295 22.267539 23.378971 23.899127
40 0.17044721  -11.047754 -10.913259 -10.43019 -10.428227 -10.058542 -10.053162 -9.9216112 -9.9198396 -9.8539485 -9.8031228 1.312707 1.3755191 6.2371879 6.4098995 10.250447 10.517693 16.325382 16.389276 19.676089 20.017488 21.923161 22.326634 23.313969 23.931067
41 0.17226332  -11.038963 -10.882043 -10.429071 -10.425968 -10.05988 -10.053185 -9.9228933 -9.9207211 -9.8642864 -9.8034472 1.3049154 1.3833111 6.2078614 6.4173415 10.255444 10.581811 16.269186 16.345325 19.62447 20.038531 21.903666 22.389789 23.253447 23.965953
42 0.17407943  -11.029924 -10.85119 -10.427843 -10.423162 -10.061371 -10.053199 -9.9242957 -9.9216851 -9.8750476 -9.8038133 1.2962354 1.392154 6.1768665 6.4255538 10.26094 10.651293 16.209297 16.297914 19.57047 20.062305 21.882992 22.456453 23.198649 24.003591
43 0.17589554  -11.020754 -10.821254 -10.426507 -10.419712 -10.063022 -10.0532 -9.9258144 -9.9227277 -9.8861135 -9.8042228 1.2866488 1.4020834 6.1445157 6.4345325 10.266929 10.72583 16.146222 16.247326 19.514566 20.088802 21.861317 22.526123 23.150441 24.043793
44 0.17771165  -11.011559 -10.792708 -10.425069 -10.415516 -10.064836 -10.053184 -9.9274454 -9.9238444 -9.8973776 -9.8046773 1.2761362 1.4131294 6.1111145 6.4442735 10.273399 10.805121 16.080449 16.193841 19.457184 20.117983 21.838805 22.598346 23.109383 24.086379
45 0.17952777  -11.002429 -10.765938 -10.423532 -10.410474 -10.066821 -10.053146 -9.9291846 -9.9250296 -9.9087464 -9.8051785 1.2646782 1.4253165 6.076957 6.454772 10.280342 10.888872 16.012445 16.137732 19.398704 20.149768 21.815611 22.672712 23.07578 24.131179
46 0.18134388  -10.993439 -10.741248 -10.4219 -10.404494 -10.068983 -10.053079 -9.9310277 -9.926277 -9.9201393 -9.8057279 1.252255 1.4386641 6.0423242 6.466023 10.287744 10.976795 15.942643 16.079266 19.339468 20.184051 21.791879 22.748848 23.049739 24.178033
47 0.18315999  -10.984652 -10.718853 -10.420179 -10.397512 -10.071329 -10.052977 -9.9329705 -9.9314881 -9.9275794 -9.8063268 1.238847 1.4531867 6.0074822 6.4780211 10.295593 11.068618 15.871443 16.018696 19.279782 20.220698 21.767741 22.826417 23.031213 24.226795
48 0.1849761  -10.97612 -10.69888 -10.418374 -10.389499 -10.073869 -10.052832 -9.9427358 -9.9350084 -9.9289282 -9.8069766 1.2244349 1.4688945 5.9726811 6.4907605 10.303876 11.164073 15.799206 15.956258 19.219923 20.259556 21.743316 22.905107 23.020041 24.277326
49 0.18679221  -10.967882 -10.681363 -10.416494 -10.380473 -10.07661 -10.052635 -9.9538359 -9.9371374 -9.930314 -9.8076781 1.2090002 1.4857944 5.9381545 6.504235 10.312576 11.262904 15.726258 15.892177 19.160146 20.300455 21.718715 22.984628 23.015978 24.329501
50 0.18860833  -10.959968 -10.666248 -10.414547 -10.37051 -10.079563 -10.052374 -9.9647511 -9.939353 -9.9317262 -9.8084323 1.1925257 1.5038901 5.9041194 6.5184381 10.321678 11.364862 15.652888 15.826656 19.100689 20.343215 21.694035 23.018722 23.06471 24.383203
51 0.19042444  -10.952399 -10.653408 -10.412541 -10.359734 -10.082738 -10.05204 -9.9754515 -9.9416511 -9.9331527 -9.8092398 1.1749955 1.5231828 5.8707763 6.5333628 10.331165 11.469703 15.579351 15.759886 19.041775 20.387646 21.669364 23.027934 23.145097 24.438324
52 0.19224055  -10.94519 -10.642656 -10.410489 -10.348311 -10.086146 -10.051617 -9.9859143 -9.9440274 -9.9345806 -9.810101 1.1563954 1.543672 5.8383097 6.5490019 10.341016 11.577187 15.505872 15.69204 18.98362 20.433553 21.644783 23.043255 23.22554 24.494766
53 0.19405666  -10.93835 -10.633769 -10.408404 -10.336428 -10.089796 -10.051091 -9.9961222 -9.9464778 -9.9359957 -9.8110161 1.1367135 1.5653554 5.8068885 6.5653474 10.351212 11.687073 15.432647 15.623274 18.926435 20.480739 21.620363 23.064317 23.305802 24.552438
54 0.19587277  -10.931883 -10.626513 -10.4063 -10.324281 -10.093701 -10.050444 -10.006062 -9.9489983 -9.9373829 -9.811985 1.1159403 1.5882297 5.7766663 6.5823915 10.361732 11.799118 15.35985 15.553731 18.870431 20.529005 21.596167 23.090753 23.385647 24.611255
55 0.19768888  -10.925789 -10.620656 -10.404196 -10.312055 -10.097867 -10.049657 -10.015725 -9.9515849 -9.938726 -9.8130075 1.0940688 1.6122906 5.7477824 6.6001254 10.372551 11.913074 15.287633 15.483542 18.815822 20.578153 21.572252 23.122204 23.464846 24.671141
56 0.199505  -10.920064 -10.615983 -10.402113 -10.299921 -10.102305 -10.04871 -10.025105 -9.954234 -9.9400083 -9.8140831 1.0710951 1.6375335 5.7203621 6.6185404 10.383646 12.028682 15.21613 15.412823 18.76283 20.627984 21.548669 23.158321 23.543166 24.732022
57 0.20132111  -10.914705 -10.612303 -10.400076 -10.288026 -10.10702 -10.047577 -10.034198 -9.9569416 -9.9412126 -9.815211 1.0470187 1.6639532 5.6945175 6.6376271 10.394991 12.145668 15.145458 15.34168 18.711688 20.6783 21.525461 23.198772 23.62038 24.793832
58 0.20313722  -10.909703 -10.60945 -10.398112 -10.276495 -10.112015 -10.046235 -10.043002 -9.9597043 -9.9423215 -9.8163904 1.0218421 1.6915441 5.6703481 6.6573757 10.406558 12.263742 15.075724 15.270209 18.662645 20.728904 21.50267 23.24324 23.696256 24.856508
59 0.20495333  -10.90505 -10.60728 -10.396257 -10.265433 -10.117288 -10.051516 -10.044658 -9.9625185 -9.9433175 -9.8176202 0.99557179 1.7203008 5.6479412 6.6777761 10.418317 12.382588 15.007024 15.198497 18.615967 20.7796 21.480329 23.291426 23.770564 24.919989
60 0.20676944  -10.900737 -10.605676 -10.394549 -10.254924 -10.122834 -10.059741 -10.042817 -9.9653808 -9.9441837 -9.8188989 0.96821758 1.7502176 5.6273729 6.6988178 10.430237 12.501866 14.939444 15.126623 18.571944 20.830191 21.458469 23.343051 23.843073 24.984219
61 0.20858556  -10.896755 -10.604537 -10.393036 -10.245036 -10.128639 -10.067677 -10.040687 -9.9682881 -9.9449039 -9.8202252 0.93979318 1.7812891 5.6087084 6.7204898 10.442287 12.621198 14.873065 15.054658 18.530892 20.880481 21.437117 23.397851 23.913552 25.049143
62 0.21173115  -10.89273 -10.604171 -10.392629 -10.240456 -10.131988 -10.07126 -10.039364 -9.9695777 -9.9452234 -9.8216397 0.92471419 1.7978601 5.6013966 6.727231 10.457037 12.681044 14.832643 15.010121 18.516086 20.886745 21.444665 23.399563 23.976092 25.064915
63 0.21487675  -10.884719 -10.604013 -10.392806 -10.236306 -10.136025 -10.074193 -10.037717 -9.970518 -9.9455226 -9.8244453 0.9087744 1.8155467 5.5971586 6.725613 10.488999 12.740985 14.775581 14.951367 18.510819 20.859551 21.484276 23.361029 24.080761 25.050873
64 0.21802235  -10.873194 -10.604082 -10.393562 -10.232628 -10.140599 -10.076487 -10.035798 -9.9711151 -9.9457747 -9.8284841 0.89244987 1.8338178 5.5959626 6.7161102 10.537638 12.800284 14.697887 14.885421 18.514275 20.810654 21.544086 23.302302 24.204835 25.021748
65 0.22116795  -10.858737 -10.604409 -10.394879 -10.229451 -10.145522 -10.078199 -10.033655 -9.9713833 -9.9459516 -9.8335731 0.87616175 1.8521963 5.5977213 6.6995114 10.602114 12.857855 14.597138 14.819018 18.525264 20.75102 21.612959 23.23571 24.330553 24.994594
66 0.22431355  -10.841993 -10.605034 -10.396722 -10.226797 -10.150593 -10.079405 -10.031341 -9.971347 -9.9460219 -9.8395144 0.86027622 1.870259 5.602282 6.6768628 10.681322 12.912051 14.476599 14.754372 18.542365 20.687546 21.68381 23.167557 24.441361 24.986051
67 0.22745914  -10.823623 -10.60601 -10.399038 -10.224678 -10.155611 -10.080194 -10.028906 -9.9710409 -9.9459495 -9.846103 0.84510751 1.8876337 5.6094141 6.649405 10.773933 12.960316 14.343839 14.690615 18.56406 20.624191 21.752526 23.101277 24.519361 25.012761
68 0.23060474  -10.804279 -10.607401 -10.401751 -10.223096 -10.160388 -10.080651 -10.026409 -9.9705116 -9.9456922 -9.8531325 0.83092235 1.9039953 5.6187933 6.6185158 10.87842 12.998623 14.208181 14.626685 18.588825 20.563307 21.816689 23.038948 24.556137 25.080417
69 0.23375034  -10.784577 -10.609281 -10.404762 -10.222036 -10.16476 -10.080856 -10.023914 -9.9698172 -9.9452033 -9.8603961 0.81794478 1.9190617 5.6299841 6.5856661 10.99303 13.020792 14.080417 14.562185 18.615174 20.506423 21.874834 22.981941 24.562422 25.174359
70 0.23689594  -10.765094 -10.611726 -10.407941 -10.221458 -10.168595 -10.080882 -10.021496 -9.9690262 -9.9444363 -9.8676845 0.80636092 1.9325906 5.642421 6.5523913 11.115684 13.018449 13.972918 14.497337 18.641679 20.454661 21.926065 22.9312 24.553978 25.274268
71 0.24004154  -10.746372 -10.614803 -10.411129 -10.221291 -10.17181 -10.080793 -10.019237 -9.968214 -9.9433594 -9.8747777 0.79632324 1.9443763 5.6553957 6.5202712 11.243748 12.983722 13.897232 14.432892 18.666983 20.408942 21.969845 22.887395 24.540634 25.366147
72 0.24318713  -10.728949 -10.618534 -10.414141 -10.221431 -10.17437 -10.080645 -10.017225 -9.9674545 -9.941981 -9.8814293 0.78795444 1.9542478 5.6680563 6.4909098 11.373541 12.915633 13.858109 14.370211 18.689809 20.3701 22.005869 22.851005 24.527139 25.442608
73 0.24633273  -10.713423 -10.622818 -10.416776 -10.221744 -10.176286 -10.080482 -10.015548 -9.9668111 -9.94039 -9.887342 0.78135059 1.962067 5.6794367 6.4658942 11.499353 12.824378 13.849907 14.311577 18.708988 20.338902 22.033975 22.822373 24.515644 25.500919
74 0.24947833  -10.700588 -10.627288 -10.418837 -10.222093 -10.177601 -10.08034 -10.014285 -9.9663283 -9.9388008 -9.8921346 0.77658376 1.9677274 5.6885314 6.4467144 11.611546 12.728814 13.860353 14.260879 18.723503 20.316039 22.054084 22.801748 24.507094 25.541149
