1 0  -11.874421 -11.874376 -11.874329 -11.874284 -11.802287 -11.802243 -11.802196 -11.802152 -10.132283 -10.132221 -9.5399723 -9.5399549 -9.5399337 -9.5399164 -9.3755764 -9.3755145 -9.2556887 -9.2556681 -9.2556497 -9.2556291 -1.4684844 -1.4684306 8.3869657 8.386966 8.8583925 8.8583991 9.25292 9.2529211 9.2529223 9.2529236 10.937493 10.937513 11.65541 11.655432 11.655455 11.655477 22.219785 22.219785 22.219829 22.21983 25.546798 25.547095 27.564836 27.564878 28.265121 28.265159 28.265198 28.265237
2 0.00513674  -11.874864 -11.874776 -11.874569 -11.874564 -11.80216 -11.802148 -11.802019 -11.801933 -10.132752 -10.13269 -9.5420152 -9.5420132 -9.5397 -9.5396633 -9.3746854 -9.3746237 -9.2558967 -9.2558956 -9.255233 -9.2551928 -1.464931 -1.4648772 8.3326015 8.332603 8.7985932 8.7985987 9.2291933 9.2291933 9.3498022 9.3498045 10.956438 10.95646 11.659007 11.659051 11.673325 11.673325 22.214947 22.214991 22.222527 22.222571 25.521601 25.521897 27.573882 27.573921 28.244151 28.244151 28.274235 28.274309
3 0.01027348  -11.876229 -11.876142 -11.875223 -11.875219 -11.80192 -11.801912 -11.801337 -11.801248 -10.134169 -10.134107 -9.5479631 -9.5479606 -9.5388926 -9.5388556 -9.3721575 -9.3720963 -9.2565983 -9.2565973 -9.2539124 -9.2538722 -1.4542747 -1.454221 8.1833543 8.1833581 8.702067 8.7020706 9.1620241 9.1620242 9.5446066 9.5446083 11.006708 11.006734 11.672421 11.672462 11.725924 11.725924 22.200899 22.200944 22.230739 22.230784 25.447531 25.447825 27.593354 27.593384 28.203571 28.203571 28.292006 28.292063
4 0.01541022  -11.87847 -11.878387 -11.876264 -11.87626 -11.801526 -11.801516 -11.800211 -11.800124 -10.136565 -10.136503 -9.557114 -9.5571112 -9.5374802 -9.5374426 -9.3683452 -9.3682844 -9.2577396 -9.2577387 -9.2517587 -9.2517185 -1.4365267 -1.4364732 7.9757635 7.9757694 8.6079267 8.607929 9.0609122 9.0609123 9.7640301 9.7640308 11.070861 11.070894 11.70392 11.703954 11.810387 11.810387 22.178763 22.17881 22.244384 22.244428 25.3287 25.328988 27.607511 27.607532 28.16132 28.16132 28.277719 28.277752
5 0.02054696  -11.881528 -11.881451 -11.877636 -11.877631 -11.800964 -11.800949 -11.79868 -11.798595 -10.139987 -10.139926 -9.5686137 -9.5686106 -9.5353645 -9.5353263 -9.3636438 -9.3635834 -9.2592789 -9.2592781 -9.2488284 -9.2487882 -1.4117059 -1.4116526 7.7404599 7.7404672 8.5093745 8.5093761 8.9362372 8.9362373 9.9873842 9.9873844 11.126501 11.126545 11.766023 11.766049 11.922756 11.922756 22.149677 22.149727 22.263391 22.263434 25.170725 25.171008 27.60552 27.605532 28.120908 28.120908 28.227237 28.22726
6 0.0256837  -11.885334 -11.885263 -11.879261 -11.879254 -11.800226 -11.800205 -11.796781 -11.796698 -10.144488 -10.144428 -9.5816296 -9.5816264 -9.5324123 -9.5323731 -9.3583763 -9.3583157 -9.2611598 -9.2611592 -9.2451769 -9.245137 -1.3798385 -1.3797854 7.4925675 7.4925759 8.4024548 8.402456 8.7965652 8.7965654 10.206715 10.206715 11.156382 11.156438 11.868088 11.868105 12.058715 12.058715 22.114218 22.114271 22.287647 22.28769 24.979628 24.979905 27.584462 27.584471 28.08069 28.08069 28.156287 28.156307
7 0.03082044  -11.889802 -11.889737 -11.881047 -11.881038 -11.799312 -11.799284 -11.794551 -11.794471 -10.150117 -10.150058 -9.595454 -9.5954509 -9.5284601 -9.5284199 -9.3527626 -9.3527014 -9.263313 -9.2633126 -9.2408472 -9.240808 -1.3409577 -1.340905 7.2388282 7.2388374 8.2875327 8.2875336 8.6481484 8.6481486 10.417672 10.417673 11.156808 11.156873 12.008379 12.00839 12.214136 12.214136 22.072121 22.072176 22.316979 22.317022 24.761107 24.761377 27.543518 27.543524 28.03496 28.034961 28.070607 28.070625
8 0.03595718  -11.894838 -11.894779 -11.882891 -11.882879 -11.798225 -11.798192 -11.792027 -11.791949 -10.156901 -10.156842 -9.6095304 -9.6095275 -9.5233232 -9.5232819 -9.346941 -9.3468787 -9.2656578 -9.2656577 -9.2358633 -9.2358252 -1.2951037 -1.2950514 6.982443 6.9824528 8.1665204 8.1665211 8.4953573 8.4953575 10.617174 10.617176 11.133575 11.133648 12.177664 12.17767 12.385372 12.385372 22.022312 22.022371 22.351117 22.351159 24.520279 24.520543 27.479558 27.479562 27.971948 27.971948 27.973165 27.973182
9 0.04109392  -11.90033 -11.900278 -11.884675 -11.884661 -11.796977 -11.796938 -11.789238 -11.789162 -10.164824 -10.164766 -9.6234393 -9.6234367 -9.5168072 -9.5167645 -9.3410015 -9.3409376 -9.268104 -9.2681038 -9.2302285 -9.2301918 -1.2423229 -1.2422711 6.7250745 6.7250848 8.0416072 8.0416078 8.3412385 8.3412387 10.802618 10.802619 11.093725 11.093805 12.366877 12.366882 12.56934 12.56934 21.963148 21.96321 22.389614 22.389655 24.261779 24.262036 27.386555 27.386558 27.865771 27.865786 27.871954 27.871954
10 0.04623066  -11.906148 -11.906102 -11.886271 -11.886256 -11.795582 -11.795537 -11.786213 -11.786141 -10.173807 -10.17375 -9.6368701 -9.6368679 -9.508723 -9.508679 -9.3350136 -9.3349475 -9.270552 -9.2705515 -9.2239262 -9.2238914 -1.1826673 -1.1826161 6.4676654 6.4676762 7.9148161 7.9148166 8.1879524 8.1879526 10.971559 10.97156 11.042515 11.042601 12.569697 12.5697 12.763511 12.763511 21.892757 21.892823 22.431678 22.431718 23.990096 23.990346 27.257654 27.257657 27.715123 27.715123 27.748752 27.748765
