1 0  -22.165052 -10.162972 -5.7285511 -5.7284316 5.7063313 5.7064659 8.9032185 10.140799 10.48934 10.843464 33.943465 33.943572 34.06912 45.499746 45.499823 53.694104
2 0.0058673804  -22.16138 -10.158599 -5.7438818 -5.7366734 5.7103621 5.7228581 8.8907896 10.14732 10.493862 10.848183 33.921775 33.930467 34.060483 45.492527 45.527217 53.68085
3 0.011734761  -22.150366 -10.145482 -5.7897284 -5.7611436 5.7218306 5.7721655 8.8535973 10.16701 10.507405 10.862357 33.857072 33.89156 34.034864 45.470603 45.60911 53.625799
4 0.017602141  -22.13201 -10.123626 -5.8653791 -5.8013794 5.7399242 5.8537617 8.7919214 10.200239 10.529906 10.886035 33.75118 33.82729 33.993129 45.433709 45.744064 53.521991
5 0.023469522  -22.106313 -10.093042 -5.9697431 -5.8565956 5.7632096 5.9668079 8.7062178 10.247579 10.56126 10.919305 33.606842 33.738486 33.93667 45.381335 45.929639 53.37466
6 0.029336902  -22.073277 -10.053742 -6.101387 -5.9257599 5.7898629 6.1101961 8.5971037 10.309737 10.601325 10.962291 33.427573 33.626262 33.867333 45.312793 46.16215 53.188953
7 0.035204283  -22.032906 -10.005747 -6.2586127 -6.0076489 5.8178296 6.2826045 8.4653407 10.387475 10.64993 11.015159 33.217408 33.491963 33.787316 45.227254 46.436422 52.969535
8 0.041071663  -21.985202 -9.9490777 -6.4395379 -6.100907 5.8449978 6.4825556 8.311815 10.481504 10.706884 11.078116 32.980657 33.337121 33.699049 45.123785 46.745509 52.721077
9 0.046939043  -21.930173 -9.8837643 -6.6421742 -6.2041035 5.8693669 6.708472 8.1375172 10.592376 10.771998 11.151412 32.721689 33.163411 33.605053 45.001389 47.080426 52.4483
10 0.052806424  -21.867827 -9.8098408 -6.864494 -6.315783 5.8891926 6.9587247 7.9435218 10.720335 10.845162 11.235338 32.444765 32.972604 33.507783 44.859062 47.429969 52.155839
11 0.058673804  -21.798175 -9.7273483 -7.1044863 -6.4345064 5.9030919 7.2316726 7.730967 10.864707 10.926903 11.330229 32.153916 32.766535 33.409473 44.695839 47.780727 51.84806
12 0.064541185  -21.721228 -9.636335 -7.360198 -6.5588827 5.9101016 7.5010361 7.5256921 11.005483 11.03678 11.43646 31.852867 32.547074 33.311962 44.510851 48.11743 51.528866
13 0.070408565  -21.637003 -9.5368573 -7.6297636 -6.687592 5.9096892 7.2549398 7.8391958 11.105174 11.211552 11.554446 31.545001 32.316094 33.216523 44.303379 48.423766 51.201515
14 0.076275946  -21.545519 -9.4289807 -7.911424 -6.8193992 5.9017226 6.9939015 8.1706436 11.207578 11.406444 11.684649 31.233345 32.075456 33.123689 44.072903 48.683703 50.868455
15 0.082143326  -21.446796 -9.3127813 -8.2035359 -6.9531621 5.8864119 6.7191448 8.5185457 11.316253 11.616735 11.827573 30.92058 31.826982 33.033067 43.819143 48.883206 50.531194
16 0.088010707  -21.340861 -9.1883467 -8.5045765 -7.0878339 5.8642367 6.4318844 8.8814598 11.431363 11.840965 11.983768 30.609057 31.572426 32.943152 43.542102 49.011989 50.19019
17 0.093878087  -21.227741 -9.0557785 -8.8131418 -7.2224624 5.8358701 6.1333188 9.2579828 11.55288 12.077793 12.153833 30.300827 31.313447 32.851138 43.242089 49.064848 49.844778
18 0.099745467  -21.107469 -9.1279425 -8.9151937 -7.3561857 5.8021087 5.8246276 9.6467399 11.680767 12.325847 12.338416 29.997667 31.051569 32.752744 42.919739 49.042203 49.493135
19 0.10561285  -20.980078 -9.4477986 -8.7667278 -7.4882277 5.5069697 5.7638131 10.04637 11.815017 12.53822 12.583706 29.701108 30.788139 32.642059 42.576018 48.949759 49.132289
20 0.11148023  -20.845609 -9.7716316 -8.6105381 -7.6178917 5.1814858 5.7218612 10.455506 11.955658 12.754005 12.8499 29.41247 30.524277 32.511479 42.212225 48.758173 48.797518
21 0.11734761  -20.704105 -10.098457 -8.4468075 -7.7445537 4.8493018 5.6771133 10.87276 12.102754 12.986585 13.122896 29.132881 30.260825 32.351768 41.829979 48.365762 48.598501
22 0.12321499  -20.555615 -10.427377 -8.2757502 -7.8676566 4.5115358 5.6303884 11.296695 12.256397 13.236837 13.401076 28.863305 29.998286 32.152369 41.431209 47.94928 48.36747
23 0.12908237  -20.400193 -10.757572 -8.0976185 -7.9867032 4.1693063 5.5824489 11.725804 12.416704 13.505696 13.682717 28.604564 29.736768 31.902049 41.018135 47.502527 48.119759
24 0.13494975  -20.237899 -11.088291 -8.101251 -7.9127115 3.8237438 5.5339926 12.158483 12.58381 13.794153 13.965952 28.357353 29.47592 31.589993 40.593248 47.019318 47.870116
25 0.14081713  -20.068804 -11.41885 -8.2109065 -7.7213864 3.4760043 5.4856502 12.592994 12.757849 14.103254 14.248744 28.122265 29.214869 31.207322 40.159296 46.494061 47.631307
26 0.14668451  -19.892988 -11.748614 -8.3153203 -7.5240743 3.127287 5.4379859 12.938947 13.02744 14.434085 14.528857 27.899798 28.952154 30.748856 39.719274 45.922448 47.41213
27 0.15255189  -19.710543 -12.076999 -8.4141828 -7.3212999 2.7788562 5.3915004 13.127205 13.45972 14.787766 14.803828 27.690371 28.685663 30.214723 39.276415 45.302223 47.214385
28 0.15841927  -19.521581 -12.403454 -8.50722 -7.1137083 2.4320691 5.3466357 13.322676 13.887493 15.070938 15.165423 27.494338 28.412574 29.611279 38.834194 44.633959 47.028394
29 0.16428665  -19.326236 -12.727455 -8.5941901 -6.9021009 2.0884121 5.3037806 13.525347 14.308138 15.327194 15.568166 27.311991 28.129307 28.95095 38.396331 43.921728 46.828607
30 0.17015403  -19.124677 -13.048491 -8.6748805 -6.6874841 1.7495487 5.2632754 13.735101 14.718708 15.569307 15.99704 27.143577 27.831511 28.250993 37.966803 43.173561 46.579151
31 0.17602141  -18.917117 -13.366045 -8.7491047 -6.4711341 1.417383 5.2254174 13.951681 15.115899 15.793675 16.452975 26.989299 27.514112 27.531553 37.549856 42.401575 46.262302
32 0.18188879  -18.703842 -13.679565 -8.8166998 -6.254685 1.094145 5.1904652 14.174632 15.496022 15.996381 16.936708 26.813614 26.849324 27.17147 37.150008 41.621681 45.899333
33 0.18775617  -18.485244 -13.988431 -8.877525 -6.0402459 0.78250439 5.1586428 14.403226 15.854998 16.173214 17.448686 26.117354 26.72379 26.7977 36.772047 40.852842 45.527377
34 0.19362355  -18.261889 -14.291873 -8.9314586 -5.8305524 0.48571752 5.1301428 14.636347 16.188381 16.319752 17.988942 25.461114 26.387199 26.612808 36.420999 40.115897 45.174325
35 0.19949093  -18.034647 -14.588852 -8.9783974 -5.6291533 0.20780939 5.1051294 14.872344 16.431533 16.491425 18.556935 24.860956 25.935393 26.516468 36.10206 39.43205 44.855903
36 0.20535832  -17.804949 -14.877793 -9.0182546 -5.4406144 -0.046227822 5.0837408 15.108824 16.504414 16.759206 19.151365 24.33061 25.439599 26.434844 35.820487 38.821242 44.580259
37 0.2112257  -17.575353 -15.156018 -9.0509588 -5.270682 -0.27027637 5.0660908 15.342347 16.535168 16.98681 19.76995 23.881559 24.899816 26.367991 35.581418 38.30069 44.35162
38 0.21709308  -17.350928 -15.418363 -9.076453 -5.1262767 -0.45710425 5.0522707 15.567923 16.52247 17.16958 20.409171 23.52309 24.319182 26.315952 35.389649 37.883916 44.172256
39 0.22296046  -17.142882 -15.653547 -9.0946936 -5.0150971 -0.59876553 5.0423501 15.777754 16.468713 17.303421 21.063953 23.262269 23.703982 26.27876 35.249351 37.580479 44.04344
40 0.22882784  -16.977916 -15.834815 -9.1056501 -4.9446043 -0.68761991 5.0363782 15.955662 16.386056 17.385108 21.726686 23.063809 23.103945 26.256436 35.163782 37.396351 43.965898
41 0.23469522  -16.909742 -15.908427 -9.1093043 -4.9204043 -0.71795253 5.0343844 16.04371 16.330021 17.412575 22.316232 22.481554 23.050875 26.248994 35.135021 37.334657 43.940011
42 0.23808272  -16.908694 -15.907372 -9.1148401 -4.9188996 -0.71848517 5.0421416 16.035836 16.330036 17.421961 22.30174 22.484455 23.052388 26.256926 35.120129 37.352526 43.952946
43 0.24147022  -16.905551 -15.904207 -9.1314069 -4.9143855 -0.72008945 5.0653731 16.012767 16.330071 17.449574 22.258778 22.493158 23.056919 26.280361 35.075832 37.405968 43.991123
44 0.24485772  -16.900313 -15.898935 -9.1588836 -4.9068624 -0.72278445 5.1039594 15.975984 16.330099 17.493956 22.188808 22.50767 23.064445 26.318287 35.003232 37.494498 44.052679
45 0.24824522  -16.892979 -15.891564 -9.1970723 -4.8963311 -0.72660194 5.1577049 15.927475 16.330074 17.553158 22.094049 22.527999 23.074928 26.36921 34.904043 37.617334 44.134603
46 0.25163271  -16.88355 -15.8821 -9.245703 -4.8827922 -0.73158626 5.2263432 15.869306 16.329932 17.625163 21.977214 22.55416 23.088315 26.431383 34.780426 37.773425 44.232847
47 0.25502021  -16.872025 -15.870554 -9.3044408 -4.8662471 -0.7377942 5.3095433 15.803345 16.329593 17.708165 21.84126 22.586167 23.104538 26.503007 34.634822 37.961495 44.342444
48 0.25840771  -16.858403 -15.856941 -9.3728935 -4.8466971 -0.7452948 5.4069178 15.731143 16.328955 17.800681 21.689184 22.624041 23.123514 26.58239 34.469783 38.180085 44.457614
49 0.26179521  -16.842686 -15.841276 -9.4506206 -4.8241438 -0.75416915 5.5180312 15.653929 16.327904 17.901553 21.523882 22.667805 23.145148 26.668028 34.287838 38.427603 44.571879
50 0.26518271  -16.824873 -15.82358 -9.5371424 -4.7985891 -0.76451007 5.6424086 15.572653 16.326305 18.009905 21.348069 22.717485 23.169331 26.758643 34.091391 38.702362 44.678191
51 0.26857021  -16.804963 -15.803876 -9.6319482 -4.7700352 -0.7764217 5.7795445 15.488039 16.324008 18.125081 21.164239 22.773109 23.195943 26.853168 33.882653 39.00262 44.769142
52 0.27195771  -16.782957 -15.782191 -9.7345056 -4.7384847 -0.79001906 5.9289102 15.400639 16.320849 18.246588 20.974654 22.834707 23.224856 26.950721 33.663606 39.326609 44.837307
53 0.27534521  -16.758855 -15.758558 -9.8442672 -4.70394 -0.80542744 6.0899616 15.31088 16.316648 18.374046 20.781354 22.902313 23.255936 27.050559 33.435982 39.672556 44.875728
